aparecida,algebra linear,engenharia de producao,24M45
aparecida,calculo 1a,engenharia de materiais,246T12
aparecida,calculo 1a,geologia,246T34
aparecida,calculo 2a,engenharia de producao,246T12
aparecida,calculo 2a,engenharia de transporte,246T34
aparecida,calculo numerico,engenharia de producao,24M45
aparecida,edo,engenharia de materiais,24M23
aparecida,geometria analitica,engenharia de materiais,24M23
aparecida,inferencia,engenharia de producao,24M23
aparecida,probabilidade e estatistica a,engenharia de materiais,24M45
colemar,algebra linear,engenharia ambiental,24T12
colemar,algebra linear,engenharia civil,24M34
colemar,algebra linear,engenharia de computacao,46T56
colemar,algebra linear,engenharia eletrica,35T12
colemar,bioestatistica 2,medicina,4T12
colemar,bioestatistica 2,medicina,6T12
colemar,bioestatistica,biotecnologia,35T45
colemar,bioestatistica,farmacia,46T23
colemar,bioestatistica,fisioterapia,46T45
colemar,bioestatistica,nutricao,6M123
colemar,calculo 1a,engenharia ambiental,246T34
colemar,calculo 1a,engenharia civil,246T12
colemar,calculo 1a,engenharia de computacao,246M34
colemar,calculo 1a,engenharia eletrica,246M12
colemar,calculo 2a,engenharia ambiental,246T34
colemar,calculo 2a,engenharia civil,246M12
colemar,calculo 2a,engenharia de computacao,246T34
colemar,calculo 2a,engenharia eletrica,246T12
colemar,calculo 3a,engenharia civil,24T56
colemar,calculo 3a,engenharia de computacao,24M34
colemar,calculo 3a,engenharia eletrica,24M12
colemar,calculo numerico,engenharia civil,35T12
colemar,calculo numerico,engenharia de computacao,35M12
colemar,calculo numerico,engenharia eletrica,35M34
colemar,edo,engenharia civil,24M12
colemar,edo,engenharia de computacao,24M56
colemar,edo,engenharia eletrica,24M34
colemar,estatistica 2,psicologia,24N23
colemar,geometria analitica,engenharia civil,46T34
colemar,geometria analitica,engenharia eletrica,35M12
colemar,matematica discreta,engenharia de computacao,35M56
colemar,probabilidade e estatistica a,engenharia civil,46M56
colemar,probabilidade e estatistica a,engenharia de computacao,24N45
colemar,probabilidade e estatistica a,engenharia eletrica,46T34
samambaia,algebra linear,ciencia da computacao,24M23
samambaia,algebra linear,ciencia da computacao,24M45
samambaia,algebra linear,engenharia de alimentos,35M23
samambaia,algebra linear,engenharia de materiais,35T12
samambaia,algebra linear,engenharia de software,24N45
samambaia,algebra linear,engenharia fisica,35T34
samambaia,algebra linear,engenharia mecanica,35T34
samambaia,algebra linear,fisica bacharelado,35T34
samambaia,algebra linear,geologia,35T12
samambaia,algebra linear,instituto de quimica,46M45
samambaia,algebra linear,inteligencia artificial,24T23
samambaia,algebra linear,sistemas de informacao,24N23
samambaia,calculo 1a,fisica bacharelado,246T34
samambaia,calculo 1a,fisica licenciatura,246N23
samambaia,calculo 1a,inteligencia artificial,246M45
samambaia,calculo 1a,quimica bacharelado,246M23
samambaia,calculo 1b,administracao,35N45
samambaia,calculo 1b,agronomia,25T23
samambaia,calculo 1b,agronomia,25T45
samambaia,calculo 1b,quimica licenciatura,24M23
samambaia,calculo 1c,ciencias contabeis,35M23
samambaia,calculo 1c,ciencias contabeis,35N23
samambaia,calculo 1c,farmacia,46M45
samambaia,calculo 2a,ciencia da computacao,246M45
samambaia,calculo 2a,engenharia de alimentos,246M23
samambaia,calculo 2a,engenharia fisica,246T56
samambaia,calculo 2a,engenharia mecanica,246T34
samambaia,calculo 2a,engenharia quimica,246M23
samambaia,calculo 2a,fisica bacharelado,246T56
samambaia,calculo 2b,administracao,35N23
samambaia,calculo 2b,agronomia,46T23
samambaia,calculo 2b,agronomia,46T45
samambaia,calculo 2b,ciencias economicas,46M23
samambaia,calculo 2b,ciencias economicas,46N23
samambaia,calculo 2b,engenharia florestal,24T23
samambaia,calculo 2b,quimica licenciatura,24M23
samambaia,calculo 2b,quimica licenciatura,35N45
samambaia,calculo 3a,fisica licenciatura,35N23
samambaia,calculo 3a,quimica bacharelado,35T45
samambaia,calculo numerico,ciencia da computacao,24M45
samambaia,calculo numerico,engenharia da mecanica,35T12
samambaia,calculo numerico,engenharia de alimentos,36T23
samambaia,edo,ciencia da computacao,24M45
samambaia,edo,engenharia quimica,24M23
samambaia,edo,fisica licenciatura,35N45
samambaia,educacao matematica inclusiva,matematica,5N45
samambaia,estatistica 1,gestao da informacao,246M23
samambaia,estatistica descritiva e probabilidade,administracao,46N23
samambaia,estatistica inferencial,administracao,46N45
samambaia,estatistica,quimica bacharelado,35M23
samambaia,fundamentos de analise,matematica,246N23
samambaia,fundamentos de analise,matematica,246N45
samambaia,fundamentos de analise,matematica,246T34
samambaia,geometria analitica,ciencia da computacao,25T45
samambaia,geometria analitica,estatistica,24T56
samambaia,introducao a probabilidade,gestao de informacao,35M23
samambaia,nocoes de atuaria,ciencias contabeis,6M23
samambaia,nocoes de atuaria,ciencias contabeis,6N23
samambaia,probabilidade e estatistica a,ciencia da computacao,24M23
samambaia,probabilidade e estatistica a,engenharia de software,24N23
samambaia,probabilidade e estatistica a,engenharia mecanica,24T12
samambaia,probabilidade e estatistica a,engenharia quimica,35M23
samambaia,probabilidade e estatistica a,sistemas de informacao,24N45
samambaia,probabilidade e estatistica b,ciencias economicas,46M45
samambaia,probabilidade e estatistica b,ciencias economicas,46N45
samambaia,probabilidade e estatistica,engenharia de software,24N23
